EntryID,Color1,Color2,Color3,Color1_1,Color1_2,Color1_3,Color2_1,Color2_2,Color2_3,Color3_1,Color3_2,Color3_3
s1928229,1909284,8817548,1241262,29,34,36,134,139,140,18,240,174
s1928231,2434115,6318997,11119809,37,36,67,96,107,149,169,172,193
s1928270,2566953,7106409,14146005,39,43,41,108,111,105,215,217,213
s1928303,4018593,2697793,10072785,61,81,161,41,42,65,153,178,209
s1928313,14080216,1975074,8682871,214,216,216,30,35,34,132,125,119
s1928325,7762008,2696734,13353658,118,112,88,41,38,30,203,194,186
s1928336,12961216,1842718,7303022,197,197,192,28,30,30,111,111,110
s1928380,15066340,8420987,2960679,229,228,228,128,126,123,45,45,39
s1928397,5527135,2566447,12896976,84,86,95,39,41,47,196,202,208
s1928401,8553083,3618101,12238519,130,130,123,55,53,53,186,190,183
s1928413,2303014,5988710,11647158,35,36,38,91,97,102,177,184,182
s1928434,5924210,2106147,10726576,90,101,114,32,35,35,163,172,176
s1928442,2499618,12764869,7697006,38,36,34,194,198,197,117,114,110
s1928471,2236702,6644573,10065293,34,33,30,101,99,93,153,149,141
s1928474,2829617,6711919,11055810,43,45,49,102,106,111,168,178,194
s1928496,10858681,2171423,6909808,165,176,185,33,34,31,105,111,112
s1928518,12236466,1645076,6449468,186,182,178,25,26,20,98,105,60
s1928541,11582922,6186353,1580324,176,189,202,94,101,113,24,29,36
s1928551,1184803,4409184,11513776,18,20,35,67,71,96,175,175,176
s1928559,10203061,7239803,2895665,155,175,181,110,120,123,44,47,49
s1928582,1447448,5724762,10593703,22,22,24,87,90,90,161,165,167
s1928583,11841447,3090976,8222828,180,175,167,47,42,32,125,120,108
s1928602,1907739,4868164,11775905,29,28,27,74,72,68,179,175,161
s1928616,11382963,8289658,2828585,173,176,179,126,125,122,43,41,41
s1928674,9538952,13488081,3488320,145,141,136,205,207,209,53,58,64
s1928688,1710872,5527120,11119271,26,27,24,84,86,80,169,170,167
s1928721,11909815,1316374,6909802,181,186,183,20,22,22,105,111,106
s1928749,14604237,8750205,4276025,222,215,205,133,132,125,65,63,57
s1928761,3159602,13554387,8684925,48,54,50,206,210,211,132,133,125
s1928771,5597570,1976373,10857651,85,105,130,30,40,53,165,172,179
s1928782,10391670,3288613,13027526,158,144,118,50,46,37,198,200,198
s1928794,11305758,12563090,2432532,172,131,30,191,178,146,37,30,20
s1928830,1710875,6445917,13421001,26,27,27,98,91,93,204,201,201
s1928831,3421223,7237213,14605789,52,52,39,110,110,93,222,221,221
s1928896,2170655,6250076,11776684,33,31,31,95,94,92,179,178,172
s1928901,5525326,1841688,10592418,84,79,78,28,26,24,161,160,162
s1928914,1776665,6119258,12435383,27,28,25,93,95,90,189,191,183
s1928926,6776677,1842462,10331818,103,103,101,28,29,30,157,166,170
s1928929,1385001,2380653,10986647,21,34,41,36,83,109,167,164,151
s1928934,2830400,6712440,10396586,43,48,64,102,108,120,158,163,170
s1928938,2040098,5000525,10790048,31,33,34,76,77,77,164,164,160
s1928963,12895161,1250578,10196366,196,195,185,19,21,18,155,149,142
s1928970,3488055,6975601,12107456,53,57,55,106,112,113,184,190,192
s1928996,2501169,5593949,10527647,38,42,49,85,91,93,160,163,159
s1929006,13420989,2237732,7303791,204,201,189,34,37,36,111,114,111
s1929021,2831181,6579050,11579308,43,51,77,100,99,106,176,175,172
s1929027,5264210,1579803,9345698,80,83,82,24,27,27,142,154,162
s1929035,1251100,11119266,5988186,19,23,28,169,170,162,91,95,90
s1929047,13026756,2631982,7238265,198,197,196,40,41,46,110,114,121
s1929081,2566189,8026740,11711658,39,40,45,122,122,116,178,180,170
s1929082,2235420,8605003,12829121,34,28,28,131,77,75,195,193,193
s1929085,2960683,6907747,13816786,45,45,43,105,103,99,210,211,210
s1929097,12629155,1973270,7432539,192,180,163,30,28,22,113,105,91
s1929144,2698545,7304312,13422289,41,45,49,111,116,120,204,206,209
s1929185,3025702,13882312,8948099,46,43,38,211,211,200,136,137,131
s1929187,1842716,6776928,12895938,28,30,28,103,104,96,196,198,194
s1929233,2105121,7104867,11056837,32,31,33,108,105,99,168,182,197
s1929244,2762273,5460816,9803668,42,38,33,83,83,80,149,151,148
s1929293,14277083,2763559,8488067,217,217,219,42,43,39,129,132,131
s1929315,12632513,8421503,3816250,192,193,193,128,128,127,58,59,58
s1929320,1710615,5986384,10525586,26,26,23,91,88,80,160,155,146
s1929350,11774106,3090722,6840405,179,168,154,47,41,34,104,96,85
s1929352,3223075,7367515,13748405,49,46,35,112,107,91,209,200,181
s1929408,2238520,993150,9870763,34,40,56,15,39,126,150,157,171
s1929425,3092271,7762543,12764862,47,47,47,118,114,111,194,198,190
s1929491,1973275,7893357,12830153,30,28,27,120,113,109,195,197,201
s1929497,7350323,7957633,2303278,112,40,51,121,108,129,35,37,46
s1929506,13749713,9867924,3092788,209,205,209,150,146,148,47,49,52
s1929508,3158324,6184803,10724263,48,49,52,94,95,99,163,163,167
s1929543,1775900,7565162,14012874,27,25,28,115,111,106,213,209,202
s1929624,3111872,2961720,9935520,47,123,192,45,49,56,151,154,160
s1929673,3632057,2764864,9616108,55,107,185,42,48,64,146,186,236
s1929692,13948109,2566436,7171689,212,212,205,39,41,36,109,110,105
s1929700,1315342,10723484,7234142,20,18,14,163,160,156,110,98,94
s1929707,1514264,6712427,11780033,23,27,24,102,108,107,179,191,193
s1929729,1644056,5524544,13486536,25,22,24,84,76,64,205,201,200
s1929864,2039582,6316127,12697790,31,31,30,96,96,95,193,192,190
s1929874,6645607,3092531,12829895,101,103,103,47,48,51,195,196,199
s1929891,13421261,2960691,9999242,204,202,205,45,45,51,152,147,138
s1929918,14145234,3289899,9079430,215,214,210,50,51,43,138,138,134
s1929934,4269854,9207140,12236466,65,39,30,140,125,100,186,182,178
s1930058,1908767,12566721,7303276,29,32,31,191,192,193,111,112,108
s1930088,11185581,1579287,7434091,170,173,173,24,25,23,113,111,107
s1930092,1512979,11579829,7564127,23,22,19,176,177,181,115,107,95
s1930102,7105639,2434341,12105910,108,108,103,37,37,37,184,184,182
s1930103,7506611,2171435,5068397,114,138,179,33,34,43,77,86,109
s1930116,2566446,6120817,10463670,39,41,46,93,101,113,159,169,182
s1930183,2303538,6056585,10268618,35,38,50,92,106,137,156,175,202
s1930185,6778483,2566701,13029072,103,110,115,39,42,45,198,206,208
s1930251,2566181,6710624,14210770,39,40,37,102,101,96,216,214,210
s1930252,9277069,14934240,3026478,141,142,141,227,224,224,46,46,46
s1930259,13684680,2763559,8224374,208,207,200,42,43,39,125,126,118
s1930267,12171962,5919566,1315086,185,186,186,90,83,78,20,17,14
s1930305,2368032,5591893,9275785,36,34,32,85,83,85,141,137,137
s1930311,2434859,4937572,9474194,37,39,43,75,87,100,144,144,146
s1930341,2433565,6839369,10656138,37,34,29,104,92,73,162,153,138
s1930354,2170909,6380112,12696239,33,32,29,97,90,80,193,186,175
s1930359,13619410,3947578,8289916,207,208,210,60,60,58,126,126,124
s1930434,10910865,11868465,3615789,166,124,145,181,25,49,55,44,45
s1930435,2179408,951228,10268337,33,65,80,14,131,188,156,174,177
s1930482,2433574,6644062,11841455,37,34,38,101,97,94,180,175,175
s1930486,3817017,8289650,13091774,58,62,57,126,125,114,199,195,190
s1930497,2040099,11380382,7433318,31,33,35,173,166,158,113,108,102
s1930523,3356219,7435893,13619406,51,54,59,113,118,117,207,208,206
s1930531,12895943,8090476,2894121,196,198,199,123,115,108,44,41,41
s1930563,6909285,2961446,11186338,105,109,101,45,48,38,170,176,162
s1930606,12367797,7959923,2894635,188,183,181,121,117,115,44,43,43
s1930642,12895685,2105892,7369847,196,197,197,32,34,36,112,116,119
s1930646,12435135,7764084,2105375,189,190,191,118,120,116,32,32,31
s1930662,9144713,12501446,1446678,139,137,137,190,193,198,22,19,22
s1930680,7960694,3618611,12633025,121,120,118,55,55,51,192,195,193
s1930708,7633540,2435375,12109268,116,122,132,37,41,47,184,197,212
s1930776,4936031,2236707,9280430,75,81,95,34,33,35,141,155,174
s1930792,2105378,6250336,12698056,32,32,34,95,95,96,193,193,200
s1930841,13224910,2565931,8420471,201,203,206,39,39,43,128,124,119
s1930866,3485482,8879733,14340037,53,47,42,135,126,117,218,207,197
s1930871,13417899,1972244,8682093,204,189,171,30,24,20,132,122,109
s1930878,1118997,4209721,11775913,17,19,21,64,60,57,179,175,169
s1930900,10068656,6513251,1973534,153,162,176,99,98,99,30,29,30
s1930902,13882329,9606554,3224631,211,211,217,146,149,154,49,52,55
s1930943,3356988,6515053,12041408,51,57,60,99,105,109,183,188,192
s1930959,9869208,13355981,3026221,150,151,152,203,203,205,46,45,45
s1930967,7369071,2828067,12239044,112,113,111,43,39,35,186,192,196
s1930970,13685719,7764348,2237998,208,211,215,118,121,124,34,38,46
s1931056,11185836,1381911,5790554,170,174,172,21,22,23,88,91,90
s1931068,5329485,1777180,9671563,81,82,77,27,30,28,147,147,139
s1931073,8750460,13420993,3289387,133,133,124,204,201,193,50,49,43
s1931076,15462125,987410,8290688,235,238,237,15,17,18,126,129,128
s1931120,15394269,11116951,2960169,234,229,221,169,161,151,45,43,41
s1931127,13553360,2105118,8421245,206,206,208,32,31,30,128,127,125
s1931132,2039582,6447198,11317171,31,31,30,98,96,94,172,175,179
s1931141,2435371,8159360,12436171,37,41,43,124,128,128,189,194,203
s1931197,2960423,7500139,11315616,45,44,39,114,113,107,172,169,160
s1931205,2171683,12435391,6645609,33,35,35,189,191,191,101,103,105
s1931214,7434092,4012601,11905438,113,111,108,61,58,57,181,169,158
s1931227,2039852,3620691,8026488,31,32,44,55,63,83,122,121,120
s1931274,10799846,2701123,6191765,164,202,230,41,55,67,94,122,149
s1931312,12237501,2895412,7434611,186,186,189,44,46,52,113,113,115
s1931335,1711132,12365241,5724247,26,28,28,188,173,185,87,88,87
s1931339,13224909,8158588,2829100,201,203,205,124,125,124,43,43,44
s1931347,3093562,7107452,12831441,47,52,58,108,115,124,195,202,209
s1931374,1841955,5395287,11382449,28,27,35,82,83,87,173,174,177
s1931418,12302516,1381909,6184285,187,184,180,21,22,21,94,93,93
s1931421,7301993,2104602,11051421,111,107,105,32,29,26,168,161,157
s1931470,3290424,8291464,13159370,50,53,56,126,132,136,200,203,202
s1931476,2105630,7105639,12369081,32,33,30,108,108,103,188,188,185
s1931489,12895167,1974303,7566449,196,195,191,30,32,31,115,116,113
s1931521,6053725,11318456,2105889,92,95,93,172,180,184,32,34,33
s1931541,7435899,3421751,12633031,113,118,123,52,54,55,192,195,199
s1931556,3618621,6908271,12238017,55,55,61,105,105,111,186,188,193
s1931631,2564638,6906203,11910074,39,34,30,105,97,91,181,187,186
s1931645,2303014,6381148,12236465,35,36,38,97,94,92,186,182,177
s1931670,2565930,8485245,12038582,39,39,42,129,121,125,183,177,182
s1931681,13093323,8094861,4410195,199,201,203,123,132,141,67,75,83
s1931713,2236965,11779006,6841959,34,34,37,179,187,190,104,102,103
s1931719,1780293,3431579,9742782,27,42,69,52,92,155,148,169,190
s1931766,922387,4803146,10591641,14,19,19,73,74,74,161,157,153
s1931814,2369315,8092005,12961474,36,39,35,123,121,101,197,198,194
s1931816,3948094,9277074,14606046,60,62,62,141,142,146,222,222,222
s1931835,4803145,2303269,8620170,73,74,73,35,37,37,131,136,138
s1931851,2763565,7040108,12106172,42,43,45,107,108,108,184,185,188
s1931877,4920846,9265495,11842735,75,22,14,141,97,87,180,180,175
s1931888,6184535,2171167,11841702,94,94,87,33,33,31,180,176,166
s1931949,1514281,12699606,7041673,23,27,41,193,199,214,107,114,137
s1931976,5322546,10983575,12800829,81,55,50,167,152,151,195,83,61
s1931978,13750683,9146230,2565920,209,209,155,139,143,118,39,39,32
s1931983,8620165,3487543,13751243,131,136,133,53,55,55,209,211,203
s1931984,10195581,13945787,2631972,155,146,125,212,203,187,40,41,36
s1931987,2567219,8025708,14077113,39,44,51,122,118,108,214,204,185
s1932003,13284019,3676694,10379612,202,178,179,56,26,22,158,97,92
s1932004,3948604,1527491,10197913,60,64,60,23,78,195,155,155,153
s1932013,1842206,12106944,6184283,28,28,30,184,188,192,94,93,91
s1932058,12171963,1776411,8027002,185,186,187,27,27,27,122,123,122
s1932064,2303269,6711401,11250605,35,37,37,102,104,105,171,171,173
s1932110,5596278,2500395,11778754,85,100,118,38,39,43,179,186,194
s1932114,6323088,2306884,12637147,96,123,144,35,51,68,192,211,219
s1932162,1646634,5331557,9805738,25,32,42,81,90,101,149,159,170
s1932174,11184798,1645076,7434856,170,170,158,25,26,20,113,114,104
s1932182,6514287,2961212,11908795,99,102,111,45,47,60,181,182,187
s1932196,1447443,6578514,13091501,22,22,19,100,97,82,199,194,173
s1932197,3289905,7370361,11449790,50,51,49,112,118,121,174,181,190
s1932235,8287593,3485734,12103588,126,117,105,53,48,38,184,175,164
s1932250,11254213,1448995,6711149,171,185,197,22,28,35,102,103,109
s1932251,1644823,6775386,11709862,25,25,23,103,98,90,178,173,166
s1932257,2829614,11647424,7304053,43,45,46,177,185,192,111,115,117
